,Max,Min,Avg,Diff,r^{max}
0,0.22095703820120957,0.0,0.11047851910060479,0.22095703820120957,0.22095703820120957
1,0.0,0.0,0.0,0.0,0.0
2,0.5136924086529642,0.0,0.2568462043264821,0.5136924086529642,0.5136924086529642
3,0.1888844288931658,0.0,0.0944422144465829,0.1888844288931658,0.1888844288931658
4,0.22380828809409611,0.16701284903725302,0.19541056856567457,0.05679543905684309,0.22380828809409611
5,0.0,0.0,0.0,0.0,0.0
6,0.271777159544218,0.0,0.135888579772109,0.271777159544218,0.271777159544218
7,0.266378257219268,0.1670215477308797,0.21669990247507387,0.09935670948838829,0.266378257219268
8,0.6554465462153642,0.07536955549032336,0.3654080508528438,0.5800769907250409,0.6554465462153642
9,0.3118352440976753,0.0,0.15591762204883766,0.3118352440976753,0.3118352440976753
